,date,company_name,action,maya_link,html_link
156,14:05 01/01/2015,דורי קבוצה ,מינוי נושא משרה - חשב  - וישנוביצקי רועי,http://maya.tase.co.il/reports/details/941480,http://mayafiles.tase.co.il/RHtm/941001-942000/H941480.htm
157,14:01 01/01/2015,ליבנטל ,"זימון אסיפה כללית ל-8.2.15-מינוי דח""צ,גמול לדירק',כתב הצבעה",http://maya.tase.co.il/reports/details/941460,http://mayafiles.tase.co.il/RHtm/941001-942000/H941460.htm
158,13:15 01/01/2015,וילאר ,מינוי נושא משרה-חשב-גיא (צבי) שלומוביץ,http://maya.tase.co.il/reports/details/941437,http://mayafiles.tase.co.il/RHtm/941001-942000/H941437.htm
159,12:24 01/01/2015,אנדימד ,"מינוי נושא משרה- סמנכ""ל פיתוח - אמיר בוים ",http://maya.tase.co.il/reports/details/941390,http://mayafiles.tase.co.il/RHtm/941001-942000/H941390.htm
160,12:12 01/01/2015,אנדימד ,מינוי נושא משרה-מנהל טכנולוגיות ראשי (CTO)-דניאל לישינסקי,http://maya.tase.co.il/reports/details/941380,http://mayafiles.tase.co.il/RHtm/941001-942000/H941380.htm
161,09:40 01/01/2015,כמיפל ,"מינוי מנכ""ל חטיבת לוגיסטיקה והפצה  באתר נתניה-משה אלוש-תיקון",http://maya.tase.co.il/reports/details/941311,http://mayafiles.tase.co.il/RHtm/941001-942000/H941311.htm
162,09:35 01/01/2015,אינטק פארמה ,"אושר מינוי מוהר כסמנכל כספים מ1.1,ששי ימשיך לכהן כמנהל כספים",http://maya.tase.co.il/reports/details/941272,http://mayafiles.tase.co.il/RHtm/941001-942000/H941272.htm
163,09:33 01/01/2015,כמיפל ,"מינוי מנכ""ל חטיבת לוגיסטיקה והפצה באתר נתניה-משה אלוש",http://maya.tase.co.il/reports/details/941303,http://mayafiles.tase.co.il/RHtm/941001-942000/H941303.htm
164,09:35 01/03/2015,חג'ג' נדלן ,"סיכמה עם פריד על מינויו לתפקיד חדש(כפוף), ימשיך זמנית כ-CFO ",http://maya.tase.co.il/reports/details/951364,http://mayafiles.tase.co.il/RHtm/951001-952000/H951364.htm
165,09:04 01/03/2015,נכסים ובנין ,"מינוי דח""צ - תלמה ברבש קנולר",http://maya.tase.co.il/reports/details/951356,http://mayafiles.tase.co.il/RHtm/951001-952000/H951356.htm
